,UPGMA,UPGMA_Double,UPGMA_Triple
1000,23.250508546829224,17.564029216766357,15.862589359283447
900,18.00883913040161,13.908802509307861,12.52550458908081
800,13.85789966583252,10.655543088912964,9.821948528289795
700,10.519331932067871,8.126268148422241,7.5139055252075195
600,7.714369535446167,6.046868562698364,5.55809473991394
500,5.550157070159912,4.35535192489624,4.0062878131866455
400,3.802926540374756,3.0039279460906982,2.7723255157470703
300,2.526240348815918,2.040501832962036,1.8979249000549316
200,1.5897035598754883,1.2656161785125732,1.215749979019165
100,0.743966817855835,0.6213388442993164,0.6024341583251953
